Key; Id;English(en);Spanish(es)
K001;1;Deep in the enchanted forest of Rondor, where the trees whispered secrets and the shadows danced with the wind, lived two twin brothers, Alex and Max. Since they were little, they had always promised to take care of each other no matter what.;En lo más profundo del bosque encantado de Rondor, donde los árboles susurraban secretos y las sombras danzaban al compás del viento, vivían dos hermanos gemelos, Alex y Max. Desde pequeños, siempre se habían prometido cuidarse el uno al otro sin importar qué.
K002;2;One afternoon, they decided to explore beyond the known limits of the forest. Alex, ever more cautious, nodded with reservation but followed his intrepid brother. They walked for several hours and found a place where a peculiar tree grew, with bright fruits that seemed magical.;Una tarde, decidieron explorar más allá de los límites conocidos del bosque. Alex, siempre más cauteloso, asintió con reservas pero siguió a su intrépido hermano. Caminaron durante varias horas y encontraron un lugar, donde crecía un árbol peculiar, con frutos brillantes que parecían magicos.
K003;3;Without stopping to consider the warnings they once heard about the forest, Max reached out, grabbed a glistening fruit, and began to eat it. Alex watched in horror as his brother began to transform and fade until he disappeared completely.; Sin detenerse a considerar las advertencias que escucharon alguna vez sobre el bosque, Max extendió la mano, tomó una fruta reluciente y comenzó a comerla. Alex observó horrorizado cómo su hermano comenzaba a transformarse y a desvanecerse hasta desaparecer por completo.
K004;4;"""Max, don't go,"" Alex shouted, desperate. But it was too late. His brother had been bewitched by the fruit and absorbed into the enchanted forest. Alex fell to his knees, tears in his eyes and his heart full of pain.";Max, no te vayas, gritó Alex, desesperado. Pero ya era tarde. Su hermano había sido embrujado por la fruta y absorbido por el bosque encantado. Alex cayó de rodillas, con lágrimas en los ojos y el corazón lleno de dolor.
K005;5;"He decided then to go rescue his twin brother, no matter how dangerous or impossible it seemed. Bravely, Alex walked deeper into the forest, remembering the words of wisdom from an ancient tale: ""Where there is love, there is no fear; where there is hope, there is no despair.""";"Decidió entonces ir a rescatar a su hermano gemelo, sin importar cuán peligroso o imposible pareciera. Con valentía, Alex se adentró más en el bosque, recordando las palabras de sabiduría de un antiguo cuento: ""Donde hay amor, no hay temor; donde hay esperanza, no hay desesperación."""
K006;6;;
K007;7;;
K008;8;;
K009;9;;
K010;10;;
K011;11;;
K012;12;;
K013;13;;
K014;14;;
K015;15;;
K016;16;;
K017;17;;
K018;18;;
